,Path,Flight ID,PNR ID,Class
0,0.0,INV-ZZ-7272907,AZCS92,BC
1,0.0,INV-ZZ-7272907,HNCE29,FC
2,0.0,INV-ZZ-7272907,HOTB42,PC
3,0.0,INV-ZZ-7272907,HXUL82,PC
4,0.0,INV-ZZ-7272907,LJDC48,EC
5,0.0,INV-ZZ-7272907,LKFL85,BC
6,0.0,INV-ZZ-7272907,LSUC46,EC
7,0.0,INV-ZZ-7272907,OUGM77,EC
8,0.0,INV-ZZ-7272907,PCNO46,PC
9,0.0,INV-ZZ-7272907,PDGG81,BC
10,0.0,INV-ZZ-7272907,PIFL87,PC
11,0.0,INV-ZZ-7272907,QALJ37,PC
12,0.0,INV-ZZ-7272907,QVUQ27,PC
13,0.0,INV-ZZ-7272907,TCWN87,EC
14,0.0,INV-ZZ-7272907,TOAW35,FC
15,0.0,INV-ZZ-7272907,VKDH94,BC
16,0.0,INV-ZZ-7272907,XTNU50,BC
17,1.0,INV-ZZ-7065859,BEOL55,EC
18,1.0,INV-ZZ-7065859,BRAH50,BC
19,1.0,INV-ZZ-7065859,CCNX23,FC
20,1.0,INV-ZZ-7065859,COBO36,PC
21,1.0,INV-ZZ-7065859,FSEX15,BC
22,1.0,INV-ZZ-7065859,HHXO36,FC
23,1.0,INV-ZZ-7065859,HZLJ15,EC
24,1.0,INV-ZZ-7065859,IKUR65,EC
25,1.0,INV-ZZ-7065859,KDAF56,FC
26,1.0,INV-ZZ-7065859,LHRH39,FC
27,1.0,INV-ZZ-7065859,MMIR84,EC
28,1.0,INV-ZZ-7065859,MSQX19,EC
29,1.0,INV-ZZ-7065859,NPMD35,EC
30,1.0,INV-ZZ-7065859,OOKL96,PC
31,1.0,INV-ZZ-7065859,OTPZ21,EC
32,1.0,INV-ZZ-7065859,PKMF58,BC
33,1.0,INV-ZZ-7065859,PTZJ70,FC
34,1.0,INV-ZZ-7065859,PZKR95,PC
35,1.0,INV-ZZ-7065859,RFMU16,EC
36,1.0,INV-ZZ-7065859,TNQY93,FC
37,1.0,INV-ZZ-7065859,TSWF50,EC
38,1.0,INV-ZZ-7065859,UEFL79,BC
39,1.0,INV-ZZ-7065859,VGMU68,EC
40,1.0,INV-ZZ-7065859,VRSQ71,PC
41,1.0,INV-ZZ-7065859,WAZB98,EC
42,1.0,INV-ZZ-7065859,YMQT75,FC
43,3.0,INV-ZZ-3616414,COED14,PC
44,3.0,INV-ZZ-3616414,GFZU13,EC
45,3.0,INV-ZZ-3616414,KLXK46,EC
46,3.0,INV-ZZ-3616414,VTSX92,EC
47,3.0,INV-ZZ-3616414,WPGH16,PC
48,3.0,INV-ZZ-3616414,XUYH33,FC
49,3.0,INV-ZZ-3616414,YGOO51,PC
50,3.0,INV-ZZ-4714515,COED14,PC
51,3.0,INV-ZZ-4714515,GFZU13,EC
52,3.0,INV-ZZ-4714515,KLXK46,EC
53,3.0,INV-ZZ-4714515,VTSX92,PC
54,3.0,INV-ZZ-4714515,WPGH16,PC
55,3.0,INV-ZZ-4714515,XUYH33,FC
56,3.0,INV-ZZ-4714515,YGOO51,BC
57,3.0,INV-ZZ-5739927,COED14,PC
58,3.0,INV-ZZ-5739927,GFZU13,EC
59,3.0,INV-ZZ-5739927,KLXK46,EC
60,3.0,INV-ZZ-5739927,VTSX92,PC
61,3.0,INV-ZZ-5739927,WPGH16,PC
62,3.0,INV-ZZ-5739927,XUYH33,BC
63,3.0,INV-ZZ-5739927,YGOO51,FC
64,4.0,INV-ZZ-3075991,GBPI23,EC
65,4.0,INV-ZZ-3075991,LDEE99,FC
66,4.0,INV-ZZ-3075991,OMIC10,PC
67,4.0,INV-ZZ-3075991,PHYE22,PC
68,4.0,INV-ZZ-3075991,QMCA69,PC
69,4.0,INV-ZZ-3075991,UOXC98,EC
70,4.0,INV-ZZ-3075991,VDOD83,EC
71,4.0,INV-ZZ-3075991,XSGW82,PC
72,4.0,INV-ZZ-3075991,XUXM21,FC
73,4.0,INV-ZZ-5367297,GBPI23,EC
74,4.0,INV-ZZ-5367297,LDEE99,FC
75,4.0,INV-ZZ-5367297,OMIC10,PC
76,4.0,INV-ZZ-5367297,PHYE22,EC
77,4.0,INV-ZZ-5367297,QMCA69,BC
78,4.0,INV-ZZ-5367297,UOXC98,EC
79,4.0,INV-ZZ-5367297,VDOD83,EC
80,4.0,INV-ZZ-5367297,XSGW82,PC
81,4.0,INV-ZZ-5367297,XUXM21,FC
82,4.0,INV-ZZ-8978958,GBPI23,EC
83,4.0,INV-ZZ-8978958,LDEE99,FC
84,4.0,INV-ZZ-8978958,OMIC10,PC
85,4.0,INV-ZZ-8978958,PHYE22,EC
86,4.0,INV-ZZ-8978958,QMCA69,BC
87,4.0,INV-ZZ-8978958,UOXC98,EC
88,4.0,INV-ZZ-8978958,VDOD83,EC
89,4.0,INV-ZZ-8978958,XSGW82,PC
90,4.0,INV-ZZ-8978958,XUXM21,FC
